16000001	CH001	Ruetlischwur AG	01012017	CH	28.6	26.48
ATC-ES01114-000002	ES007	Server Sistemas	07032018	ES	5021.5	4150
ATC-ES01212-000001	ES002	Bike Norte	07032016	ES	2234.21	1893.4
ATC-ES01213-000001	ES002	Bike Norte	07032017	ES	2291.01	1893.4
ATC-ES01214-000001	ES002	Bike Norte	07032018	ES	2291.01	1893.4
ATC-ES01214-000005	ES002	Bike Norte	10042017	ES	399856.6	330460
ATC-ES02314-000001	ES010	Químicas Dintel	26032017	ES	0.54	0.45
BE0211501BEAVC000001	BE004	Technieks bvba	28012017	BE	1089	900
BE0211501BEFAC000003	BE001	BE Concept	27012017	BE	2323.4	2000
BE0211501BEFAC000004	BE001	BE Concept	27012017	BE	2323.4	2000
BE0211501BEFAC000005	BE001	BE Concept	27012017	BE	2323.4	2000
BE0211501BEFAC000006	BE001	BE Concept	27012017	BE	2323.4	2000
BE0211501BEFAC000007	BE002	Transport bvba	28012017	BE	2420	2000
BE0211501BEFAC000008	BE003	kreglinger	28012017	BE	121	100
BE0211501BEFAC000009	BE004	Technieks bvba	28012017	BE	1210	1000
BE0211501BEFAC000010	BE005	Vervoer Bvba	28012017	BE	500	500
BE0211501BEFAC000011	DE004	Software Services	28012017	DE	200	200
BE0211501BEFAC000012	NA001	International Distributors	28012017	US	800	800
BE0211501BEFAC000013	FR004	Micro Systems	28012017	FR	1915	1915
BE0211501BEFAC000014	FR004	Micro Systems	28012017	FR	1500	1500
BE0211501BEFAC000015	DE004	Software Services	28012017	DE	200	200
BE0211501BEFAC000016	PT005	Supermercados Rosa Fresca	28012017	PT	300	300
DCFPT03115/00000001	PT002	Bikes do Barreiro	16072017	PT	474.78	386
DCFPT03115/00000002	PT002	Bikes do Barreiro	17072017	PT	659.28	536
DCFPT03115/00000003	PT003	Farmácia de Matosinhos	20072017	PT	659.28	536
DCFPT03115/00000006	PT003	Farmácia de Matosinhos	26082017	PT	565.8	460
DCFPT03215/00000001	PT001	As Bicicletas do Norte	26082017	PT	90581.51	73643.5
DCFPT03215/00000002	PT001	As Bicicletas do Norte	31082017	PT	68.06	55.33
DCFPT03215/00000003	PT001	As Bicicletas do Norte	31082017	PT	68.06	55.33
DCFPT03215/00000004	PT001	As Bicicletas do Norte	31082017	PT	84253.77	68499
DIR000018	PT003	Farmácia de Matosinhos	05052017	PT	22000	22000
DIR000019	NA002	Amalgamate Supply	06122017	US	5450	5450
DIRNA01112-000086	NA001	International Distributors	01122017	US	60	60
DIRNA01211-000085	NA003	Fun Times Stores	28012016	US	165047.5	165047.5
DIRNA01211-000086	NA004	Leisure Sports Inc	27012016	US	211965.3	211965.3
DIRNA01211-000087	NA003	Fun Times Stores	28042016	US	223507.8	223507.8
FAC-ES01111-000001	FR004	Micro Systems	20112016	FR	120	120
FAC-ES01112-000001	FR004	Micro Systems	31122017	FR	42.36	42.36
FAC-ES01112-000002	ES001	Alcampo	21022017	ES	1062	900
FAC-ES01112-000003	FR004	Micro Systems	20022017	FR	2485	2485
FAC-ES01112-000004	ES001	Alcampo	21032017	ES	15518.4	12720
FAC-ES01112-000007	ES001	Alcampo	31032017	ES	1742.4	1440
FAC-ES01112-000010	ES007	Server Sistemas	07012016	ES	2832	2400
FAC-ES01112-000011	ES007	Server Sistemas	07022016	ES	271.4	230
FAC-ES01112-000012	ES008	Comunicación	07032016	ES	849.6	720
FAC-ES01112-000013	ES011	Productos Tecnológicos SA	07042016	ES	30119.5	25525
FAC-ES01112-000014	ES007	Server Sistemas	01052016	ES	3363	2850
FAC-ES01112-000015	ES007	Server Sistemas	07062016	ES	826	700
FAC-ES01112-000016	ES008	Comunicación	07072016	ES	1557.6	1320
FAC-ES01112-000017	ES007	Server Sistemas	07082016	ES	153.4	130
FAC-ES01112-000018	ES008	Comunicación	07092016	ES	8107	6700
FAC-ES01112-000019	ES008	Comunicación	03102016	ES	750.2	620
FAC-ES01112-000020	ES008	Comunicación	11112016	ES	1089	900
FAC-ES01112-000021	ES007	Server Sistemas	10122016	ES	992.2	820
FAC-ES01113-000018	ES008	Comunicación	10122017	ES	1210	1000
FAC-ES01113-000019	ES008	Comunicación	01012017	ES	5360.3	4430
FAC-ES01113-000020	ES008	Comunicación	10022017	ES	3049.2	2520
FAC-ES01113-000021	ES007	Server Sistemas	07042017	ES	5021.5	4150
FAC-ES01113-000022	ES007	Server Sistemas	07052017	ES	31199.85	25785
FAC-ES01113-000023	ES007	Server Sistemas	07062017	ES	309.76	256
FAC-ES01113-000024	ES008	Comunicación	10072017	ES	484	400
FAC-ES01113-000025	ES008	Comunicación	01082017	ES	217.8	180
FAC-ES01113-000026	ES007	Server Sistemas	01092017	ES	2686.2	2220
FAC-ES01113-000027	ES008	Comunicación	10102017	ES	1210	1000
FAC-ES01113-000028	ES001	Alcampo	20112017	ES	1742.4	1440
FAC-ES01113-000029	FR004	Micro Systems	10122017	FR	2295	2295
FAC-ES01114-000001	ES010	Químicas Dintel	21022018	ES	88.5	75
FAC-ES01114-000004	ES008	Comunicación	07032018	ES	484	400
FAC-ES01114-000007	ES007	Server Sistemas	07032018	ES	5021.5	4150
FAC-ES01114-000010	ES008	Comunicación	07042018	ES	677.6	560
FAC-ES01114-000013	ES007	Server Sistemas	12072018	ES	992.2	820
FAC-ES01114-000016	ES008	Comunicación	14102018	ES	8107	6700
FAC-ES01114-000020	ES007	Server Sistemas	07042018	ES	3448.5	2850
FAC-ES01114-000022	ES008	Comunicación	01082018	ES	871.2	720
FAC-ES01114-000024	ES007	Server Sistemas	05052018	ES	2904	2400
FAC-ES01114-000059	ES002	Bike Norte	15052017	ES	388361.6	320960
FAC-ES01114-000060	ES007	Server Sistemas	12022017	ES	417571	345100
FAC-ES01114-000061	ES007	Server Sistemas	20032017	ES	417571	345100
FAC-ES01114-000062	ES008	Comunicación	09042017	ES	2758921	2280100
FAC-ES01114-000063	ES002	Bike Norte	23052017	ES	300583.36	248416
FAC-ES01114-000077	ES008	Comunicación	10042017	ES	1173821	970100
FAC-ES01115-000005	ES001	Alcampo	24092017	ES	958.32	792
FAC-ES01212-000022	ES002	Bike Norte	01012016	ES	2510.25	2127.33
FAC-ES01212-000023	ES002	Bike Norte	07022016	ES	2124.12	1800.1
FAC-ES01212-000024	ES001	BH	07032016	ES	2633.05	2231.4
FAC-ES01212-000025	ES001	BH	07042016	ES	308.33	261.3
FAC-ES01212-000026	ES001	BH	07052016	ES	2633.05	2231.4
FAC-ES01212-000027	ES001	BH	01062016	ES	308.33	261.3
FAC-ES01212-000028	ES001	BH	07072016	ES	879.1	745
FAC-ES01212-000029	ES002	Bike Norte	07082016	ES	4993.64	4231.9
FAC-ES01212-000030	ES002	Bike Norte	07092016	ES	494.53	408.7
FAC-ES01212-000031	ES001	BH	10102016	ES	243.69	201.4
FAC-ES01212-000032	ES001	BH	07112016	ES	431.73	356.8
FAC-ES01212-000033	ES002	Bike Norte	02122016	ES	494.53	408.7
FAC-ES01213-000030	ES002	Bike Norte	07012017	ES	5522.13	4563.74
FAC-ES01213-000031	ES001	BH	07022017	ES	730.3	603.55
FAC-ES01213-000032	ES001	BH	07042017	ES	1899.1	1569.5
FAC-ES01213-000033	ES001	BH	07052017	ES	495.19	409.25
FAC-ES01213-000034	ES002	Bike Norte	07062017	ES	168.8	139.5
FAC-ES01213-000035	ES001	BH	01072017	ES	1704.77	1408.9
FAC-ES01213-000036	ES002	Bike Norte	07082017	ES	3163.67	2614.6
FAC-ES01213-000037	ES001	BH	10102017	ES	1005.75	831.2
FAC-ES01213-000038	ES001	BH	04112017	ES	1899.1	1569.5
FAC-ES01213-000039	ES001	BH	20122017	ES	4870.55	4025.25
FAC-ES01214-000025	ES002	Bike Norte	27022018	ES	2291.01	1893.4
FAC-ES01214-000027	ES002	Bike Norte	07042018	ES	3163.67	2614.6
FAC-ES01214-000030	ES002	Bike Norte	07072018	ES	4439.97	3669.4
FAC-ES01214-000038	ES002	Bike Norte	07122018	ES	240.49	198.75
FAC-ES01214-000044	ES002	Bike Norte	20072018	ES	5522.13	4563.74
FAC-ES01214-000045	ES002	Bike Norte	07032018	ES	494.53	408.7
FAC-ES01214-000047	ES001	BH	07032016	ES	243.69	201.4
FAC-ES01214-000049	ES002	Bike Norte	07032018	ES	5120.6	4231.9
FAC-ES01214-000053	ES002	Bike Norte	07032018	ES	2178.12	1800.1
FAC-ES01214-000054	ES002	Bike Norte	07032018	ES	2574.07	2127.33
FAC-ES01214-000055	ES001	BH	20112016	ES	243.69	201.4
FAC-ES01214-000058	ES001	BH	09042017	ES	2881.31	2381.25
FAC-ES01214-000064	ES001	BH	03062017	ES	1397671	1155100
FAC-ES01214-000065	ES001	BH	22102017	ES	991111	819100
FAC-ES01214-000074	ES001	BH	13082017	ES	991111	819100
FAC-ES01214-000075	ES002	Bike Norte	10042017	ES	1284871.22	1061877.04
FAC-ES01214-000076	ES002	Bike Norte	10042017	ES	5120.6	4231.9
FAC-ES01214-000079	ES001	BH	22072017	ES	991111	819100
FAC-ES01215-000006	ES002	Bike Norte	10112016	ES	3796.4	3137.52
